question,type,value,notes
1,int,24801002666,
2,dict,"{'54.152.17.ccg': 12562,
 '183.195.251.hah': 6524,
 '52.45.218.ihf': 5562,
 '68.180.231.abf': 5493,
 '204.212.175.bch': 4708,
 '103.238.106.gif': 4428,
 '208.77.215.jeh': 3903,
 '208.77.214.jeh': 3806,
 '217.174.255.dgd': 3551,
 '82.13.163.caf': 3527}",
3,float,0.03466852724527611,
4,str,'1627631.0/0001627631-15-000004/.txt',
5,dict,"{0.0: 173885, 1.0: 971}",
6,dict,"{'Australia': 13,
 'Taiwan (Province of China)': 9,
 'China': 437,
 'India': 34,
 'Korea (Republic of)': 10,
 'Hong Kong': 27,
 'Viet Nam': 7,
 'Malaysia': 3,
 'United States of America': 1309,
 'Singapore': 9,
 'Canada': 56,
 'Sweden': 5,
 'Algeria': 2,
 'South Africa': 6,
 'Ireland': 16,
 'France': 271,
 'United Kingdom of Great Britain and Northern Ireland': 45,
 'Romania': 10,
 'Netherlands': 25,
 'Finland': 1,
 'Russian Federation': 8,
 'Ukraine': 10,
 'Philippines': 4,
 'Japan': 11,
 'Bangladesh': 1,
 'Estonia': 3,
 '-': 2,
 'Germany': 42,
 'Brazil': 5,
 'Italy': 12,
 'Angola': 1,
 'Poland': 5,
 'Egypt': 5,
 'Morocco': 1,
 'Thailand': 7,
 'Switzerland': 8,
 'Yemen': 1,
 'Israel': 14,
 'Denmark': 4,
 'Iraq': 3,
 'Greece': 1,
 'Venezuela (Bolivarian Republic of)': 1,
 'Honduras': 1,
 'Hungary': 2,
 'Liberia': 1,
 'Tanzania, United Republic of': 2,
 'Virgin Islands (British)': 1,
 'Spain': 7,
 'Mexico': 1,
 'Mongolia': 1,
 'Indonesia': 3,
 'Turkey': 3,
 'Jordan': 1,
 'Austria': 2,
 'Lebanon': 2,
 'North Macedonia': 1,
 'Syrian Arab Republic': 1,
 'Nigeria': 1,
 'Sudan': 1,
 'Pakistan': 1,
 'Armenia': 1,
 'Czechia': 3,
 'Croatia': 1,
 'Slovakia': 4,
 'Cyprus': 1,
 'Jersey': 1,
 'Slovenia': 1,
 'Saudi Arabia': 3,
 'Latvia': 1,
 'Bulgaria': 3,
 'Luxembourg': 2,
 'Portugal': 2}",
7,NoneType,None,
